NO_OF_FRAMES,2614
NO_OF_CAMERAS,30
NO_OF_MARKERS,10
FREQUENCY,140
NO_OF_ANALOG,0
ANALOG_FREQUENCY,0
DESCRIPTION,--
TIME_STAMP,2020-08-18, 11:52:00.996,683459.82016494
DATA_INCLUDED,3D
MARKER_NAMES,indloc_top_left,indloc_left_middle,indloc_left_bottom,indloc_right_bottom,indloc_top_middle,wearable_top,wearable_middle,wearable_bottom,wearable_right,indloc_wearable - 5
1,0.00000,1597744284.049998900,25220.418,16741.373,1631.038,25218.334,16559.013,1125.470,25225.123,16397.935,696.973,26579.416,16401.445,684.834,26140.723,16745.065,1620.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25482.351,16285.461,1118.847,0.000,0.000,0.000
2,0.00714,1597744284.057141700,25221.002,16740.508,1630.249,25218.261,16559.023,1125.306,25224.836,16397.989,696.758,26579.635,16400.586,684.976,26140.867,16745.207,1620.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25481.665,16292.036,1114.643,0.000,0.000,0.000
3,0.01429,1597744284.064284500,25220.811,16741.615,1630.821,25217.352,16553.705,1125.594,25225.846,16397.467,697.257,26579.826,16401.367,685.534,26140.787,16745.184,1620.386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25481.060,16300.970,1111.513,0.000,0.000,0.000
4,0.02143,1597744284.071427300,25220.931,16741.676,1630.866,25216.761,16556.180,1124.443,25226.879,16396.941,697.714,26581.629,16399.546,686.607,26137.717,16742.786,1620.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25479.351,16305.777,1106.704,0.000,0.000,0.000
5,0.02857,1597744284.078570100,25221.086,16740.857,1630.418,25217.236,16556.603,1124.683,25226.092,16397.517,697.335,26581.592,16399.671,686.599,26137.680,16742.808,1620.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25477.817,16313.238,1103.020,0.000,0.000,0.000
6,0.03571,1597744284.085712900,25221.021,16742.117,1631.370,25217.367,16556.878,1124.706,25227.138,16396.827,697.832,26581.528,16399.470,686.606,26137.807,16742.793,1620.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25476.360,16319.539,1099.146,0.000,0.000,0.000
7,0.04286,1597744284.092855700,25220.098,16740.860,1630.710,25216.702,16556.026,1124.519,25226.300,16397.358,697.401,26581.404,16399.587,686.307,26137.605,16742.768,1620.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25474.871,16326.462,1095.696,0.000,0.000,0.000
8,0.05000,1597744284.099998500,25221.022,16741.445,1630.778,25217.593,16557.433,1125.040,25225.840,16397.464,697.322,26581.447,16399.844,686.474,26137.526,16742.481,1620.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25473.523,16332.832,1092.384,0.000,0.000,0.000
9,0.05714,1597744284.107141300,25220.206,16740.868,1630.672,25217.453,16557.262,1124.672,25225.277,16397.833,697.160,26581.180,16400.234,686.404,26136.498,16742.338,1620.295,25392.342,16457.271,1027.274,0.000,0.000,0.000,0.000,0.000,0.000,25472.003,16339.446,1088.892,0.000,0.000,0.000
10,0.06429,1597744284.114284100,25220.838,16741.445,1631.026,25217.420,16557.396,1124.970,25226.748,16396.991,697.647,26581.749,16400.181,686.322,26138.406,16743.640,1620.230,25383.535,16470.002,1020.406,0.000,0.000,0.000,0.000,0.000,0.000,25470.822,16347.144,1085.692,0.000,0.000,0.000
